treatment,game,round,time,id,side,valuation,bid,type,price,match_id,match_time
BBLimS,1,1,47,1051,Buyer,113.0,100,Auto,100.0,1040.0,47.0
BBLimS,1,1,47,1047,Buyer,123.0,30,Manual,,,
BBLimS,1,1,58,1059,Buyer,93.0,63,Manual,,,
BBLimS,1,1,59,1047,Buyer,123.0,50,Manual,,,
BBLimS,1,1,61,1055,Buyer,103.0,70,Manual,,,
BBLimS,1,1,65,1054,Seller,98.0,109,Manual,,,
BBLimS,1,1,70,1047,Buyer,123.0,40,Manual,,,
BBLimS,1,1,71,1059,Buyer,93.0,65,Manual,,,
BBLimS,1,1,74,1055,Buyer,103.0,80,Manual,,,
BBLimS,1,1,81,1047,Buyer,123.0,20,Manual,,,
BBLimS,1,1,82,1054,Seller,98.0,199,Manual,,,
BBLimS,1,1,84,1059,Buyer,93.0,65,Manual,,,
BBLimS,1,1,86,1055,Buyer,103.0,90,Manual,90.0,1042.0,90.0
BBLimS,1,1,90,1042,Seller,68.0,70,Manual,,,
BBLimS,1,1,90,1042,Seller,68.0,90,Auto,90.0,1055.0,90.0
BBLimS,1,1,90,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,1,97,1054,Seller,98.0,199,Manual,,,
BBLimS,1,1,97,1059,Buyer,93.0,65,Manual,,,
BBLimS,1,1,100,1047,Buyer,123.0,123,Manual,,,
BBLimS,1,1,112,1054,Seller,98.0,199,Manual,,,
BBLimS,1,1,113,1059,Buyer,93.0,75,Manual,,,
BBLimS,1,1,120,1047,Buyer,123.0,123,Manual,,,
BBLimS,1,2,3,1042,Seller,68.0,85,Manual,,,
BBLimS,1,2,5,1040,Seller,63.0,150,Manual,,,
BBLimS,1,2,5,1046,Seller,78.0,83,Manual,83.0,1045.0,6.0
BBLimS,1,2,5,1056,Seller,,34,Manual,34.0,1049.0,6.0
BBLimS,1,2,6,1049,Buyer,118.0,50,Manual,,,
BBLimS,1,2,6,1049,Buyer,118.0,34,Auto,34.0,1056.0,6.0
BBLimS,1,2,6,1045,Buyer,128.0,100,Manual,,,
BBLimS,1,2,6,1045,Buyer,128.0,83,Auto,83.0,1046.0,6.0
BBLimS,1,2,6,1059,Buyer,93.0,10,Manual,,,
BBLimS,1,2,6,1043,Buyer,133.0,75,Manual,,,
BBLimS,1,2,7,1055,Buyer,103.0,75,Manual,,,
BBLimS,1,2,10,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,11,1052,Seller,93.0,147,Manual,,,
BBLimS,1,2,11,1053,Buyer,108.0,80,Manual,80.0,1044.0,11.0
BBLimS,1,2,11,1044,Seller,73.0,80,Manual,,,
BBLimS,1,2,11,1044,Seller,73.0,80,Auto,80.0,1053.0,11.0
BBLimS,1,2,15,1042,Seller,68.0,84,Manual,84.0,1043.0,25.0
BBLimS,1,2,18,1055,Buyer,103.0,80,Manual,,,
BBLimS,1,2,19,1043,Buyer,133.0,80,Manual,,,
BBLimS,1,2,19,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,20,1059,Buyer,93.0,15,Manual,,,
BBLimS,1,2,22,1040,Seller,63.0,120,Manual,,,
BBLimS,1,2,25,1043,Buyer,133.0,90,Manual,,,
BBLimS,1,2,25,1043,Buyer,133.0,84,Auto,84.0,1042.0,25.0
BBLimS,1,2,27,1052,Seller,93.0,145,Manual,,,
BBLimS,1,2,28,1054,Seller,98.0,144,Manual,,,
BBLimS,1,2,31,1055,Buyer,103.0,85,Manual,,,
BBLimS,1,2,35,1052,Seller,93.0,140,Manual,,,
BBLimS,1,2,36,1040,Seller,63.0,110,Manual,,,
BBLimS,1,2,37,1059,Buyer,93.0,60,Manual,,,
BBLimS,1,2,38,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,43,1051,Buyer,113.0,70,Manual,,,
BBLimS,1,2,44,1054,Seller,98.0,144,Manual,,,
BBLimS,1,2,45,1052,Seller,93.0,123,Manual,,,
BBLimS,1,2,47,1055,Buyer,103.0,90,Manual,,,
BBLimS,1,2,49,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,51,1040,Seller,63.0,100,Manual,,,
BBLimS,1,2,51,1059,Buyer,93.0,75,Manual,,,
BBLimS,1,2,56,1051,Buyer,113.0,80,Manual,,,
BBLimS,1,2,56,1047,Buyer,123.0,10,Manual,,,
BBLimS,1,2,58,1054,Seller,98.0,110,Manual,,,
BBLimS,1,2,59,1052,Seller,93.0,120,Manual,,,
BBLimS,1,2,60,1055,Buyer,103.0,92,Manual,92.0,1040.0,66.0
