treatment,game,round,time,id,side,valuation,bid,price,match_id,match_time,type,status
BBLimS,1,4,59,7,Buyer,113,105,,,,Manual,Expired
BBLimS,1,4,62,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,4,67,2,Seller,73,130,,,,Manual,Expired
BBLimS,1,4,70,7,Buyer,113,100,,,,Manual,Expired
BBLimS,1,4,71,1,Buyer,138,71,,,,Manual,Expired
BBLimS,1,4,73,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,4,78,2,Seller,73,130,,,,Manual,Expired
BBLimS,1,4,80,7,Buyer,113,105,,,,Manual,Replaced
BBLimS,1,4,83,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,4,85,1,Buyer,138,72,,,,Manual,Expired
BBLimS,1,4,88,7,Buyer,113,105,,,,Manual,Replaced
BBLimS,1,4,90,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,4,95,2,Seller,73,130,,,,Manual,Expired
BBLimS,1,4,95,7,Buyer,113,105,,,,Manual,Replaced
BBLimS,1,4,98,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,4,99,1,Buyer,138,73,,,,Manual,Expired
BBLimS,1,4,103,7,Buyer,113,105,,,,Manual,Replaced
BBLimS,1,4,107,2,Seller,73,125,,,,Manual,Expired
BBLimS,1,4,107,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,4,110,7,Buyer,113,105,,,,Manual,Replaced
BBLimS,1,4,113,1,Buyer,138,74,,,,Manual,Expired
BBLimS,1,4,116,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,4,117,7,Buyer,113,105,105.0,2.0,119.0,Manual,Accepted
BBLimS,1,4,119,2,Seller,73,105,105.0,7.0,119.0,Manual,Replaced
BBLimS,1,5,1,4,Seller,78,99,,,,Manual,Replaced
BBLimS,1,5,3,0,Seller,63,100,,,,Manual,Replaced
BBLimS,1,5,3,10,Buyer,103,50,,,,Manual,Expired
BBLimS,1,5,4,3,Buyer,128,75,,,,Manual,Expired
BBLimS,1,5,4,4,Seller,78,95,95.0,7.0,5.0,Manual,Accepted
BBLimS,1,5,5,7,Buyer,113,100,95.0,4.0,5.0,Manual,Replaced
BBLimS,1,5,5,5,Seller,83,93,,,,Manual,Replaced
BBLimS,1,5,6,2,Seller,73,120,,,,Manual,Expired
BBLimS,1,5,8,0,Seller,63,95,,,,Manual,Replaced
BBLimS,1,5,8,6,Buyer,118,80,,,,Manual,Replaced
BBLimS,1,5,8,5,Seller,83,93,,,,Manual,Replaced
BBLimS,1,5,11,0,Seller,63,90,,,,Manual,Replaced
BBLimS,1,5,12,5,Seller,83,93,93.0,9.0,15.0,Manual,Accepted
BBLimS,1,5,13,6,Buyer,118,85,85.0,0.0,14.0,Manual,Accepted
BBLimS,1,5,14,0,Seller,63,85,85.0,6.0,14.0,Manual,Replaced
BBLimS,1,5,15,9,Buyer,108,95,93.0,5.0,15.0,Manual,Replaced
BBLimS,1,5,17,2,Seller,73,119,,,,Manual,Expired
BBLimS,1,5,19,1,Buyer,138,75,,,,Manual,Expired
BBLimS,1,5,19,10,Buyer,103,98,,,,Manual,Expired
BBLimS,1,5,25,8,Seller,93,110,,,,Manual,Expired
BBLimS,1,5,30,2,Seller,73,117,,,,Manual,Expired
BBLimS,1,5,33,1,Buyer,138,100,,,,Manual,Expired
BBLimS,1,5,34,10,Buyer,103,45,,,,Manual,Expired
BBLimS,1,5,34,3,Buyer,128,99,,,,Manual,Expired
BBLimS,1,5,37,8,Seller,93,105,,,,Manual,Expired
BBLimS,1,5,42,2,Seller,73,114,,,,Manual,Expired
BBLimS,1,5,45,10,Buyer,103,25,,,,Manual,Expired
BBLimS,1,5,47,1,Buyer,138,1,,,,Manual,Expired
BBLimS,1,5,49,8,Seller,93,100,100.0,3.0,50.0,Manual,Accepted
BBLimS,1,5,50,3,Buyer,128,115,100.0,8.0,50.0,Manual,Replaced
BBLimS,1,5,53,2,Seller,73,109,,,,Manual,Expired
BBLimS,1,5,59,10,Buyer,103,20,,,,Manual,Expired
BBLimS,1,5,62,1,Buyer,138,2,,,,Manual,Expired
BBLimS,1,5,64,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,5,66,2,Seller,73,105,,,,Manual,Expired
BBLimS,1,5,70,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,5,74,10,Buyer,103,75,,,,Manual,Expired
BBLimS,1,5,76,11,Seller,103,186,,,,Manual,Expired
BBLimS,1,5,81,2,Seller,73,200,,,,Manual,Expired
BBLimS,1,5,87,11,Seller,103,165,,,,Manual,Expired
BBLimS,1,5,89,1,Buyer,138,137,,,,Manual,Expired
BBLimS,1,5,90,10,Buyer,103,70,,,,Manual,Expired
BBLimS,1,5,93,2,Seller,73,190,,,,Manual,Expired
BBLimS,1,5,99,11,Seller,103,190,,,,Manual,Replaced
BBLimS,1,5,104,10,Buyer,103,60,,,,Manual,Expired
BBLimS,1,5,104,2,Seller,73,109,,,,Manual,Expired
BBLimS,1,5,108,11,Seller,103,170,,,,Manual,Replaced
BBLimS,1,5,112,11,Seller,103,160,,,,Manual,Replaced
BBLimS,1,5,116,2,Seller,73,105,,,,Manual,Replaced
BBLimS,1,5,116,10,Buyer,103,45,,,,Manual,Expired
BBLimS,1,5,118,11,Seller,103,167,,,,Manual,Expired
BBLimS,1,5,120,2,Seller,73,95,,,,Manual,Expired
BBLimS,1,6,2,7,Buyer,113,95,95.0,4.0,8.0,Manual,Accepted
BBLimS,1,6,4,10,Buyer,103,100,100.0,0.0,6.0,Manual,Accepted
BBLimS,1,6,5,6,Buyer,118,90,,,,Manual,Replaced
BBLimS,1,6,6,5,Seller,83,113,,,,Manual,Replaced
BBLimS,1,6,6,9,Buyer,108,90,,,,Manual,Expired
BBLimS,1,6,6,2,Seller,73,130,,,,Manual,Expired
BBLimS,1,6,6,0,Seller,63,90,100.0,10.0,6.0,Manual,Replaced
BBLimS,1,6,8,4,Seller,78,95,95.0,7.0,8.0,Manual,Replaced
BBLimS,1,6,9,5,Seller,83,113,,,,Manual,Replaced
BBLimS,1,6,10,1,Buyer,138,2,,,,Manual,Expired
BBLimS,1,6,14,6,Buyer,118,92,,,,Manual,Replaced
BBLimS,1,6,15,5,Seller,83,112,,,,Manual,Replaced
BBLimS,1,6,17,6,Buyer,118,95,,,,Manual,Expired
BBLimS,1,6,19,9,Buyer,108,92,,,,Manual,Expired
BBLimS,1,6,21,5,Seller,83,112,,,,Manual,Replaced
BBLimS,1,6,22,3,Buyer,128,95,,,,Manual,Expired
BBLimS,1,6,25,2,Seller,73,119,,,,Manual,Expired
BBLimS,1,6,26,5,Seller,83,110,,,,Manual,Replaced
BBLimS,1,6,26,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,6,27,6,Buyer,118,100,,,,Manual,Replaced
BBLimS,1,6,31,9,Buyer,108,93,,,,Manual,Replaced
BBLimS,1,6,31,11,Seller,103,160,,,,Manual,Replaced
BBLimS,1,6,33,6,Buyer,118,95,,,,Manual,Replaced
BBLimS,1,6,34,5,Seller,83,110,,,,Manual,Replaced
BBLimS,1,6,35,11,Seller,103,160,,,,Manual,Replaced
BBLimS,1,6,37,2,Seller,73,115,,,,Manual,Expired
BBLimS,1,6,37,3,Buyer,128,96,,,,Manual,Expired
BBLimS,1,6,39,5,Seller,83,105,,,,Manual,Replaced
BBLimS,1,6,39,6,Buyer,118,85,,,,Manual,Replaced
BBLimS,1,6,41,9,Buyer,108,95,,,,Manual,Expired
BBLimS,1,6,42,11,Seller,103,160,,,,Manual,Replaced
BBLimS,1,6,45,5,Seller,83,107,,,,Manual,Replaced
BBLimS,1,6,47,6,Buyer,118,105,105.0,5.0,51.0,Manual,Accepted
BBLimS,1,6,49,2,Seller,73,110,,,,Manual,Expired
BBLimS,1,6,51,11,Seller,103,189,,,,Manual,Replaced
BBLimS,1,6,51,5,Seller,83,105,105.0,6.0,51.0,Manual,Replaced
BBLimS,1,6,53,9,Buyer,108,96,,,,Manual,Expired
BBLimS,1,6,53,1,Buyer,138,50,,,,Manual,Expired
BBLimS,1,6,55,3,Buyer,128,98,,,,Manual,Expired
BBLimS,1,6,56,11,Seller,103,160,,,,Manual,Replaced
BBLimS,1,6,61,2,Seller,73,105,,,,Manual,Expired
BBLimS,1,6,62,11,Seller,103,180,,,,Manual,Replaced
BBLimS,1,6,63,9,Buyer,108,97,,,,Manual,Expired
BBLimS,1,6,67,3,Buyer,128,98,,,,Manual,Expired
BBLimS,1,6,68,11,Seller,103,178,,,,Manual,Replaced
BBLimS,1,6,72,11,Seller,103,167,,,,Manual,Replaced
BBLimS,1,6,73,2,Seller,73,99,99.0,9.0,76.0,Manual,Accepted
BBLimS,1,6,76,9,Buyer,108,100,99.0,2.0,76.0,Manual,Replaced
BBLimS,1,6,79,11,Seller,103,156,,,,Manual,Replaced
BBLimS,1,6,81,3,Buyer,128,99,,,,Manual,Expired
BBLimS,1,6,83,11,Seller,103,156,,,,Manual,Replaced
BBLimS,1,6,88,11,Seller,103,167,,,,Manual,Replaced
BBLimS,1,6,93,3,Buyer,128,99,,,,Manual,Expired
BBLimS,1,6,97,11,Seller,103,166,,,,Manual,Replaced
BBLimS,1,6,105,3,Buyer,128,100,,,,Manual,Replaced
BBLimS,1,6,105,11,Seller,103,167,,,,Manual,Expired
BBLimS,1,6,113,3,Buyer,128,105,,,,Manual,Expired
BBLimS,1,6,118,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,7,2,7,Buyer,113,95,,,,Manual,Expired
BBLimS,1,7,3,4,Seller,78,200,,,,Manual,Replaced
BBLimS,1,7,4,3,Buyer,128,100,100.0,0.0,7.0,Manual,Accepted
BBLimS,1,7,5,10,Buyer,103,20,,,,Manual,Expired
BBLimS,1,7,5,2,Seller,73,145,,,,Manual,Expired
BBLimS,1,7,5,0,Seller,63,105,,,,Manual,Replaced
BBLimS,1,7,6,4,Seller,78,150,,,,Manual,Replaced
BBLimS,1,7,7,9,Buyer,108,95,,,,Manual,Replaced
BBLimS,1,7,7,0,Seller,63,100,100.0,3.0,7.0,Manual,Replaced
BBLimS,1,7,7,5,Seller,83,145,,,,Manual,Replaced
BBLimS,1,7,9,6,Buyer,118,100,100.0,4.0,9.0,Manual,Accepted
BBLimS,1,7,9,4,Seller,78,95,100.0,6.0,9.0,Manual,Replaced
BBLimS,1,7,9,11,Seller,103,200,,,,Manual,Replaced
BBLimS,1,7,9,1,Buyer,138,138,138.0,8.0,10.0,Manual,Accepted
BBLimS,1,7,10,8,Seller,93,110,138.0,1.0,10.0,Manual,Replaced
BBLimS,1,7,13,7,Buyer,113,100,,,,Manual,Replaced
BBLimS,1,7,13,9,Buyer,108,100,,,,Manual,Replaced
BBLimS,1,7,16,5,Seller,83,128,,,,Manual,Replaced
BBLimS,1,7,16,11,Seller,103,145,,,,Manual,Replaced
BBLimS,1,7,17,2,Seller,73,139,,,,Manual,Expired
BBLimS,1,7,20,10,Buyer,103,50,,,,Manual,Expired
BBLimS,1,7,21,9,Buyer,108,101,,,,Manual,Expired
BBLimS,1,7,22,5,Seller,83,156,,,,Manual,Expired
BBLimS,1,7,23,7,Buyer,113,105,,,,Manual,Replaced
BBLimS,1,7,23,11,Seller,103,200,,,,Manual,Expired
BBLimS,1,7,30,2,Seller,73,134,,,,Manual,Expired
BBLimS,1,7,32,5,Seller,83,137,,,,Manual,Replaced
BBLimS,1,7,32,7,Buyer,113,105,,,,Manual,Replaced
BBLimS,1,7,32,9,Buyer,108,102,,,,Manual,Replaced
BBLimS,1,7,34,10,Buyer,103,40,,,,Manual,Expired
BBLimS,1,7,36,11,Seller,103,176,,,,Manual,Replaced
BBLimS,1,7,37,5,Seller,83,142,,,,Manual,Replaced
BBLimS,1,7,39,9,Buyer,108,105,,,,Manual,Replaced
BBLimS,1,7,40,11,Seller,103,156,,,,Manual,Replaced
BBLimS,1,7,41,7,Buyer,113,105,,,,Manual,Expired
BBLimS,1,7,43,2,Seller,73,129,,,,Manual,Expired
BBLimS,1,7,44,11,Seller,103,145,,,,Manual,Replaced
BBLimS,1,7,44,5,Seller,83,180,,,,Manual,Replaced
BBLimS,1,7,48,10,Buyer,103,10,,,,Manual,Expired
BBLimS,1,7,49,9,Buyer,108,106,,,,Manual,Replaced
BBLimS,1,7,50,11,Seller,103,156,,,,Manual,Replaced
BBLimS,1,7,50,5,Seller,83,142,,,,Manual,Replaced
BBLimS,1,7,52,7,Buyer,113,105,,,,Manual,Expired
BBLimS,1,7,54,9,Buyer,108,107,,,,Manual,Replaced
BBLimS,1,7,56,11,Seller,103,156,,,,Manual,Replaced
BBLimS,1,7,57,5,Seller,83,125,,,,Manual,Replaced
BBLimS,1,7,58,2,Seller,73,119,,,,Manual,Expired
BBLimS,1,7,59,9,Buyer,108,108,,,,Manual,Expired
BBLimS,1,7,61,11,Seller,103,156,,,,Manual,Replaced
BBLimS,1,7,62,7,Buyer,113,105,,,,Manual,Replaced
